#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
14,Sandy Alcantara,MIA,28,28,181,738,10,8,,0,0,,166,76,70,17,,7,154,41,7.67,2.06,3.49,1.15
15,Michael King,SDP,31,31,177,743,14,8,,0,0,,151,70,64,18,,7,195,62,9.91,3.16,3.27,1.2
16,Cole Ragans,KCR,31,31,175,733,11,8,,0,0,,150,74,68,18,,6,195,65,10.02,3.34,3.51,1.23
17,Logan Gilbert,SEA,32,32,191,767,12,8,,0,0,,164,76,70,23,,4,192,44,9.05,2.05,3.29,1.08
18,Pablo López,MIN,32,32,188,778,13,10,,0,0,,172,85,79,24,,9,197,46,9.41,2.22,3.78,1.16
19,Blake Snell,LAD,29,29,149,619,10,6,,0,0,,112,61,56,16,,2,197,67,11.91,4.06,3.38,1.2
20,Reynaldo López,ATL,31,31,166,681,11,5,,0,0,,140,63,59,16,,3,179,55,9.67,2.98,3.2,1.17
21,Sonny Gray,STL,31,31,177,723,13,8,,0,0,,153,73,67,20,,6,185,49,9.38,2.46,3.43,1.14
22,Hunter Greene,CIN,29,29,167,674,9,8,,0,0,,121,72,67,18,,19,186,57,10.03,3.09,3.62,1.07
23,Kevin Gausman,TOR,32,32,188,788,14,10,,0,0,,179,82,76,23,,2,183,52,8.74,2.49,3.65,1.23
24,Tyler Glasnow,LAD,24,24,137,543,10,6,,0,0,,107,56,52,18,,0,168,39,11.06,2.55,3.42,1.07
25,Gerrit Cole,NYY,31,31,176,719,11,9,,0,0,,151,78,71,25,,5,185,48,9.42,2.45,3.64,1.13
26,Justin Steele,CHC,29,29,162,668,9,6,,0,0,,146,65,60,16,,6,151,43,8.42,2.42,3.34,1.17
27,Shane McClanahan,TBR,26,34,159,638,11,7,,0,1,,134,62,57,19,,1,170,40,9.59,2.28,3.25,1.09
28,Framber Valdez,HOU,29,29,178,738,14,8,,0,0,,153,70,65,17,,9,165,58,8.32,2.95,3.26,1.19
29,Jacob deGrom,TEX,26,26,112,434,6,2,,0,0,,84,41,39,15,,2,149,24,12.01,1.91,3.13,0.97
30,Spencer Strider,ATL,21,21,118,482,9,6,,0,0,,92,47,43,13,,6,160,36,12.17,2.72,3.29,1.08
31,Tanner Houck,BOS,29,39,176,742,11,8,,0,1,,163,80,75,16,,15,159,53,8.15,2.72,3.82,1.23
32,Ranger Suárez,PHI,28,40,164,690,11,9,,0,1,,153,72,66,16,,5,147,51,8.03,2.78,3.64,1.24
33,Cristopher Sánchez,PHI,29,29,172,721,10,9,,0,0,,167,80,74,19,,5,145,45,7.58,2.36,3.87,1.24
34,Luis Castillo,SEA,31,31,178,730,13,10,,0,0,,154,74,69,21,,6,181,51,9.16,2.57,3.48,1.15
35,Joe Ryan,MIN,28,28,156,631,10,8,,0,0,,134,71,65,21,,8,166,36,9.6,2.05,3.77,1.09
36,Clay Holmes,NYM,21,52,167,734,15,11,,0,1,,172,74,68,12,,8,145,51,7.8,2.76,3.66,1.34
37,Shota Imanaga,CHC,29,29,164,674,10,8,,0,0,,149,69,64,22,,5,165,38,9.06,2.07,3.49,1.14
38,Spencer Schwellenbach,ATL,29,29,158,650,12,8,,0,0,,147,69,64,19,,8,152,33,8.65,1.9,3.62,1.14
39,Zach Eflin,BAL,29,29,172,708,12,9,,0,0,,173,78,72,22,,5,141,29,7.38,1.51,3.75,1.17
40,Seth Lugo,KCR,31,31,186,777,12,10,,0,0,,180,85,78,22,,7,156,51,7.56,2.46,3.81,1.24
41,Tanner Bibee,CLE,29,29,161,665,10,8,,0,0,,142,67,62,20,,6,164,45,9.15,2.53,3.48,1.16
42,Hunter Brown,HOU,29,29,165,699,12,9,,0,0,,148,74,68,19,,5,168,59,9.18,3.24,3.72,1.26
43,Brayan Bello,BOS,29,29,159,688,11,11,,0,0,,155,79,72,16,,6,147,58,8.31,3.28,4.1,1.34
44,Grayson Rodriguez,BAL,28,28,152,636,10,9,,0,0,,136,69,64,19,,6,163,45,9.61,2.66,3.77,1.19
45,Brandon Woodruff,MIL,24,24,141,575,9,7,,0,0,,118,59,54,19,,5,161,42,10.33,2.67,3.44,1.14
